stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
C1H920,長豐,736.0,120.879897,24.102039,南投縣,國姓鄉長豐村東二巷71號(仙徠山莊內),1991/12/12,,原名為長福，於2015/9/1更名為長豐。本站於2015/9/1起進行儀器汰換，並於2015/12/31完成驗收。,,
C1H941,雙冬,630.0,120.80218899999998,23.967378,南投縣,草屯鎮雙冬里,2011/11/01,,原(C1H940)站因儀器汰換，於2011/11/1更變為(C1H941)站。,C1H940,
C1H971,六分寮,428.0,120.6378,23.92507,南投縣,南投市鳳鳴里八卦路831號(南投縣政府消防局第一大隊鳳鳴分隊),2011/11/1,,原(C1H970)站因儀器汰換，於2011/11/1更變為(C1H971)站。2017/3/1短距離移位施工。原址為鳳鳴里八卦路894號(西嶺國小校門口對面)，2017/4/1啟用,C1H970,
C1H9B1,阿眉,1710.0,120.994672,24.1263,南投縣,仁愛鄉(水利局雨量站旁),2011/11/1,,原(C1H9B0)站因儀器汰換，於2011/11/1更變為(C1H9B1)站。,C1H9B0,
C1I020,萬大,1120.0,121.13226100000001,23.979817,南投縣,仁愛鄉親愛村萬大水庫宿舍旁,1992/05/12,,本站於2015/8/11起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I030,武界,948.0,121.05248300000001,23.913225,南投縣,仁愛鄉法治村,1992/05/03,,本站於2015/8/14起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I050,丹大,2568.0,121.141147,23.753747,南投縣,信義鄉丹大事業區第10林班地(瞭望臺旁),1992/05/01,,自2006年起，設備不再維護，暫時停止觀測。本站於2015/3/28起進行儀器汰換，並於2015/7/1完成驗收。,,
C1I070,和社,825.0,120.888861,23.591131,南投縣,信義鄉中橫同富村同和巷47號和社分社觀測坪內,1992/05/01,,本站於2015/9/14起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I101,溪頭,1810.0,120.807647,23.661789000000002,南投縣,鹿谷鄉內湖村森林巷溪頭林營區(鳳凰山瞭望台旁),2011/11/01,,原(C1I100)站因儀器汰換，於2011/11/1更變為(C1I101)站。,C1I100,
C1I121,大鞍,1515.0,120.76001699999999,23.678380999999998,南投縣,竹山鎮樟空倫山之三角點附近,2011/11/01,,原(C1I120)站因儀器汰換，於2011/11/1更變為(C1I121)站。,C1I120,
